CSF,Cortical GM,WM,Ventricles,Cerebellum,Brainstem,Caudate Right,Caudate Left,Lentiform Right,Lentiform Left,Thalamus Left,Thalamus Right,TTV,TBV,ICV
81902.5,153450.38,151614.88,3980.25,26327.75,6516.75,1920.13,2013.5,3399,3288.25,4573.13,4826,368164.63,372144.88,454047.38
103483.38,139673.25,142696.25,5218.38,20600.25,6014.5,1775.5,1841.5,2970.75,2927,4512,4372,337214.88,342433.25,445916.63
81462.5,177497.13,177729.75,6092.13,23569,6863.75,1869.25,1937.5,3623.13,3624.88,4697.25,4655.88,417177,423269.13,504731.63
71748.75,131813.63,145868.63,5447,20682.88,6107.63,1739.13,1844.63,2989.5,2895.38,4071.25,4070.75,331679.5,337126.5,408875.25
64321.63,135870.63,133254.25,4071.13,22730.38,5965.5,1352.88,1418.5,2947.13,2854.38,4325,4361.13,324558.88,328630,392951.63
71117.13,134167,138184.75,3816.13,25029.63,6435.63,1390.63,1453.13,2820.5,2919.5,4268.63,4213.63,330525.88,334342,405459.13
63450.75,137694.13,154059.38,4222.25,21689.13,5617.75,1629.88,1702.13,3405.63,3332.5,4215.25,4114.25,347105.88,351328.13,414778.88
90372.88,153927.25,149284,4651.63,27579.25,6723.75,1822.63,1920.38,3086.38,3094.13,4591.25,4733.75,367696.5,372348.13,462721
51419.5,145852.38,154549,3083.5,26653.75,6754.75,1796,1877.13,3092.13,3198.13,4574,4609,363643.63,366727.13,418146.63
84591.38,148497.25,146821.25,4476.5,25247.5,6124.88,1775.5,1917.5,2864.63,2877.5,4268.38,4365,355028.63,359505.13,444096.5
88422,156542,156831.25,4387,26120.38,6583.63,1988.25,2061.75,3436.88,3423.88,4266.75,4202.25,376484.63,380871.63,469293.63
79580.75,136925,132064.63,3236.5,25752.13,6305.88,1640.13,1766.13,3218.88,3172.75,4304.13,4581.63,330124.88,333361.38,412942.13
52916.75,149076,161714.75,3354.63,23414.63,5978.88,1909.88,1850.5,3142.38,3318.75,4371.25,4341.75,368546.75,371901.38,424818.13
83631.13,130688.63,130458.75,5072,19780.5,5742.75,1565.13,1691,2813,2800.38,4277.5,4264,313670.13,318742.13,402373.25
79948.5,142064.38,140307.25,4235.38,23934.63,6881.63,1765.38,1820.38,2987,3051.75,4313.5,4432.13,341587.63,345823,425771.5
